波长（nm）,R_湿裸土,R_灌木,R_水泥砖,R_枯叶,R_草地,R_水体(90),R_水体(45)
568,0.068544901,0.100500549,0.145969255,0.219085088,0.078584435,0.073396926,0.198482445
569,0.068731571,0.097892258,0.145662514,0.219466083,0.076726861,0.073256914,0.197067004
570,0.06984996,0.095639767,0.145872401,0.219829201,0.075563392,0.073184126,0.196551938
571,0.070200454,0.093220078,0.145486072,0.220616137,0.073780443,0.072621023,0.195811462
572,0.07080579,0.090887717,0.14532611,0.221643839,0.072084894,0.07209274,0.195294644
573,0.072427268,0.088980646,0.146108994,0.223162194,0.070995174,0.072011162,0.195589199
574,0.072712397,0.08702676,0.14616961,0.224381936,0.07012278,0.071738083,0.195042603
575,0.073331313,0.085055464,0.146383953,0.225678273,0.069017481,0.071760286,0.194586524
576,0.074433164,0.083099483,0.146820941,0.227027198,0.067644165,0.072070602,0.194313427
577,0.074703178,0.081141717,0.146072828,0.22724728,0.066240876,0.071288059,0.193040208
578,0.075459101,0.079560308,0.146122296,0.228868518,0.065067883,0.071047733,0.193232378
579,0.075914465,0.077701536,0.145702937,0.229573486,0.063638386,0.070645384,0.19272802
580,0.076264998,0.076271067,0.145859601,0.230240115,0.06265681,0.070450163,0.191636039
581,0.077102635,0.075094534,0.146351978,0.231901509,0.06188452,0.070415119,0.19197887
582,0.077890226,0.073928215,0.146816107,0.233724192,0.061159097,0.070395064,0.192500078
583,0.078705444,0.072984763,0.147724431,0.236488045,0.060715726,0.070676089,0.193529536
584,0.080346444,0.07250198,0.149263338,0.239754907,0.061217264,0.071450975,0.195015269
585,0.081994553,0.072083452,0.15061359,0.2430134,0.061287399,0.071969536,0.196721009
586,0.083531274,0.071667726,0.151658371,0.246222664,0.060755829,0.072122862,0.198579496
587,0.083562322,0.071149173,0.152409868,0.247110603,0.060562892,0.072041983,0.197986471
588,0.083340687,0.0699209,0.151461648,0.24598448,0.059628177,0.071526912,0.19579355
589,0.082940305,0.068141502,0.149379452,0.243607838,0.058161939,0.070687768,0.192668241
590,0.082120294,0.065915069,0.147029837,0.240873388,0.056408461,0.069439101,0.189837135
591,0.083253833,0.065246259,0.147082686,0.241531756,0.05622469,0.069650703,0.189085677
592,0.084194887,0.064741925,0.147284075,0.242715043,0.056145448,0.069849535,0.188571713
593,0.083996302,0.064007437,0.147278337,0.244501084,0.055613135,0.06954793,0.188729768
594,0.084231452,0.063339382,0.14699711,0.245134736,0.055195059,0.069074882,0.188777411
595,0.084357869,0.062642143,0.146446338,0.245547559,0.05476211,0.06853567,0.187915218
596,0.084820004,0.062277159,0.146471969,0.247314941,0.054618522,0.068356001,0.187169872
597,0.085732149,0.061954351,0.146934738,0.248994384,0.054861497,0.068228186,0.187318522
598,0.086281937,0.061637062,0.147010466,0.250543032,0.054744405,0.067983518,0.186911189
599,0.086679437,0.061274391,0.147049661,0.252213372,0.054500979,0.067751337,0.186499075
600,0.086959016,0.060301035,0.147127927,0.253474468,0.054493403,0.06748194,0.186544901
601,0.087259704,0.059903838,0.146921459,0.254626262,0.053973162,0.066792273,0.185461255
602,0.087637917,0.0597234,0.146827905,0.255906819,0.053436852,0.066352482,0.184704315
603,0.088257969,0.059637739,0.147358208,0.257938372,0.053293584,0.066841972,0.185688221
604,0.088671462,0.059069022,0.147744905,0.259261964,0.053348462,0.066815279,0.185784945
605,0.088937362,0.058403093,0.147823162,0.260435256,0.053195549,0.066644501,0.185449187
606,0.089546402,0.058017822,0.148376975,0.263056595,0.053047624,0.066752423,0.185782846
607,0.08993881,0.05719065,0.148271312,0.263717303,0.05259656,0.066310629,0.185266195
608,0.090362983,0.056484516,0.148274313,0.264722966,0.052083197,0.065885016,0.184886007
609,0.090877417,0.055901465,0.148355028,0.266067582,0.051584484,0.065546274,0.184626203
610,0.091701146,0.055516837,0.148421124,0.267636663,0.051378824,0.065600738,0.184471271
611,0.091864368,0.054655037,0.148680799,0.268965305,0.050764963,0.065466426,0.183921573
612,0.09184633,0.053701549,0.148861234,0.270076768,0.050092501,0.065371412,0.183297431
613,0.092129811,0.053073015,0.148837788,0.271215461,0.049739388,0.065613335,0.183107235
614,0.092059924,0.052068015,0.148572134,0.272082358,0.048852272,0.06506116,0.182518407
615,0.092344806,0.05130749,0.148493159,0.273043701,0.048202545,0.064660051,0.182171995
616,0.093155447,0.050944502,0.148664504,0.274103447,0.047972111,0.064608633,0.182222874
617,0.093320816,0.050388208,0.149331803,0.275801656,0.048446005,0.065086138,0.18307058
618,0.093292617,0.049578358,0.149160668,0.276492731,0.047896615,0.064577688,0.182308326
619,0.093628266,0.048901603,0.149104659,0.277887856,0.046965083,0.063838072,0.18139329
620,0.09409807,0.048521417,0.14891916,0.279866619,0.046767245,0.064096808,0.181578129
621,0.094430434,0.047953656,0.14932133,0.280935876,0.046340247,0.064089129,0.181505792
622,0.094794466,0.047556296,0.150016773,0.282349242,0.046168486,0.064156323,0.181820602
623,0.09465445,0.047438095,0.14983589,0.283536526,0.046532002,0.064220822,0.182027252
624,0.095462143,0.047489676,0.150249767,0.284605411,0.046971025,0.064396026,0.182201571
625,0.095959695,0.047447605,0.150483395,0.285872781,0.046869093,0.06432224,0.182243772
626,0.096096561,0.047370057,0.150737195,0.288309081,0.046109356,0.064045701,0.182651282
627,0.096333304,0.047317496,0.15126189,0.289099817,0.046022209,0.063975139,0.182956824
628,0.096585372,0.04698104,0.151021106,0.289601696,0.046064856,0.064078803,0.182973777
629,0.096731369,0.046428809,0.150196624,0.289661602,0.04612373,0.064189439,0.182574204
630,0.096928124,0.046290201,0.150466444,0.290493276,0.045951729,0.064079896,0.18239086
631,0.097230371,0.04636911,0.15093604,0.291919494,0.046180365,0.064330933,0.182665054
632,0.097460691,0.04636035,0.151232163,0.293481849,0.046228428,0.064538267,0.182989025
633,0.097393228,0.045911803,0.150894461,0.294920096,0.045421326,0.064294044,0.183008153
634,0.098160974,0.045696594,0.151568315,0.29644586,0.046013844,0.064716403,0.18371424
635,0.098871914,0.045363627,0.152628792,0.298995231,0.046391317,0.065187321,0.184697641
636,0.098353014,0.044383312,0.152561507,0.30025089,0.045734465,0.064966254,0.184244088
637,0.099121712,0.04378914,0.152796368,0.301120192,0.045628841,0.065158947,0.185153267
638,0.099329823,0.043012161,0.152845939,0.301702919,0.044970126,0.065536211,0.185857713
639,0.099264987,0.042156328,0.152873831,0.302301629,0.044012684,0.066060182,0.186395599
640,0.099932831,0.041468591,0.152869991,0.302588822,0.043727736,0.066271708,0.18578807
641,0.099844776,0.040297325,0.152630641,0.303313777,0.043383041,0.066270952,0.186464182
642,0.099992464,0.039364911,0.152652665,0.304348761,0.043229866,0.066476214,0.187601018
643,0.101827977,0.039697546,0.154052533,0.306506914,0.043759318,0.067708378,0.189097066
644,0.101766753,0.038314892,0.154008472,0.306636014,0.041991163,0.067680348,0.18930834
645,0.101419286,0.036693221,0.153705468,0.306237668,0.040600546,0.067243003,0.188836699
646,0.101242548,0.035254552,0.153576873,0.305820453,0.040529262,0.066580801,0.187685918
647,0.100345639,0.034642061,0.152480451,0.304022693,0.04072168,0.066350888,0.186614821
648,0.100291159,0.033823218,0.152124543,0.303207364,0.04040568,0.066320827,0.186120439
649,0.100401411,0.032679724,0.151630113,0.302072175,0.039454386,0.066110979,0.185159897
650,0.100092806,0.031805384,0.150810307,0.303181087,0.038535774,0.06596039,0.184903691
651,0.100846739,0.03185589,0.151484316,0.305110074,0.038786346,0.06625447,0.185564628
652,0.102006894,0.032207714,0.152745566,0.307475332,0.039224199,0.066615361,0.18665209
653,0.102259974,0.031984416,0.152705429,0.308031969,0.038353447,0.066094763,0.186658427
654,0.101362533,0.031511261,0.151644926,0.306622769,0.03795629,0.065750622,0.185498447
655,0.100774429,0.031118902,0.150701116,0.305277149,0.037612719,0.065596576,0.184009877
656,0.100265952,0.03068027,0.149032585,0.302300426,0.036873225,0.065113765,0.180946432
657,0.100173357,0.02949068,0.148699321,0.302796808,0.036528427,0.063737649,0.179930034
658,0.100387417,0.028835183,0.148854114,0.304171815,0.036367277,0.062942684,0.179496486
659,0.101510432,0.028872138,0.1502742,0.307925829,0.036576601,0.063104303,0.180545924
660,0.102819033,0.029130507,0.151592335,0.309937461,0.03680446,0.063521239,0.180879058
661,0.103332199,0.028545389,0.151598578,0.310980751,0.036292185,0.063001338,0.180522077
662,0.103669603,0.02781675,0.151410336,0.311772296,0.035749336,0.062175568,0.179951196
663,0.104028146,0.027751658,0.151793195,0.311712854,0.036037505,0.061506806,0.178855191
664,0.103590539,0.027230047,0.150965242,0.311117755,0.035101915,0.060901456,0.177346502
665,0.103507243,0.026793824,0.150328489,0.311006263,0.034657148,0.06072414,0.176369828
666,0.104168067,0.026640221,0.150354545,0.311529897,0.035452076,0.061159029,0.176206573
